Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Middle Axis Length (µm),Minor Axis Length (µm),True Sphericity (-),Convexity (-),Flatness (-),Elongation (-),Compactness (-)
1,2148695309.453125,1601.0027251521753,2613.671376032029,1803.8770604912959,870.3988249212089,0.5937881469726562,0.7419037283598992,0.4825156015256112,0.6901698036842986,0.0001589192688697949
2,794474939.796875,1149.1071496939403,1768.7445241430833,1425.9579222403513,601.6026792864648,0.32933497428894043,0.610749215220192,0.42189371081951327,0.8061977876263366,8.430019079241902e-05
3,271576035.25,803.4600247656772,1270.6665935627977,949.2827811151151,429.9971784353445,0.30543455481529236,0.4933938203895547,0.4529705868363378,0.7470746346242088,0.000324842898407951
4,669748333.546875,1085.5196092416604,1437.7205566753703,1075.1927183427285,827.4699336128252,0.31365305185317993,0.7971778253906995,0.7696015044523961,0.7478454094229812,0.000306669098790735
5,1863441585.609375,1526.765673115973,2256.196539392261,1407.39667148663,1120.7886197663365,0.482259064912796,0.7915522211791302,0.7963558835068509,0.6237916985129907,0.0001855947048170492
6,1353624067.15625,1372.4603764948126,2016.4482596068842,1627.202262013662,787.8994965356582,0.5899049043655396,0.889021428111025,0.48420501552193823,0.8069645498024791,0.0003194707096554339
7,890639898.59375,1193.7164391935962,1381.7789754691264,1311.4113346008378,938.6982559183274,0.3361770808696747,0.7520034404632038,0.7157923918692106,0.949074604464583,0.00021343972184695303
8,1412020716.359375,1391.9195949493546,2260.3440216814333,1257.0082708777256,949.1388879923028,0.2912042737007141,0.6616012363320983,0.7550776792658268,0.5561136972161687,6.531616963911802e-05
9,3876543918.046875,1949.0158101696095,2711.521745998258,1829.0112706784855,1492.8515135433786,0.18916510045528412,0.5247847315781339,0.8162068421752229,0.6745331374818561,4.247119989031489e-07
10,1176251403.9375,1309.6859770326546,1661.1812685522534,1544.8741158723012,875.3694994975558,0.2735954523086548,0.7212774077660067,0.5666283682947754,0.9299852732018128,7.185007416410372e-05
11,2437139251.671875,1669.656915774645,2723.566432752907,1993.5789775297924,857.2555465121715,0.7040492296218872,0.8622918279232439,0.43000831979798526,0.7319736921249748,3.3774293115129694e-05
12,1300686070.421875,1354.3303854507612,2417.380239703652,1600.2320806980856,642.1639575768379,0.5853995680809021,0.6816386133908331,0.4012942655772156,0.6619695381038851,0.000181986324605532
13,1855912024.25,1524.7065093163314,2404.4784015825644,1562.8809368859359,943.2178020614813,0.25545167922973633,0.7121397379080023,0.6035122572682069,0.6499875132408296,2.059012695099227e-05
14,1609389390.078125,1453.9657307300688,1908.096173340185,1681.9653552490595,957.7346607640802,0.6376005411148071,0.8445087488966911,0.5694140237640403,0.8814887733382557,0.0005050436593592167
15,1314394816.4375,1359.0718123328293,1737.087050027868,1348.9940026404545,1071.2617880094226,0.3538287281990051,0.7868983648986847,0.7941190145490548,0.7765839959596801,0.00010876837040996179
16,1709539637.25,1483.5203821536531,2225.2250603847824,1427.1484789231588,1028.104952450058,0.3281462490558624,0.7242763352494919,0.7203910228218193,0.6413501736657498,7.274553354363889e-05
17,1809339556.703125,1511.84459605776,2082.124567745303,1609.0024529865823,1031.473419596507,0.2646242082118988,0.7632977970733159,0.6410639198727863,0.7727695441051078,3.336165536893532e-05
18,1905556691.96875,1538.182090893032,2119.7748719798287,1401.9974945638226,1224.5774967265952,0.3118845522403717,0.732420850075324,0.873451986522683,0.6613898075196939,4.5077056711306795e-05
19,1675319327.53125,1473.5549155199965,2059.0261120045793,1430.883458445339,1086.0075866112875,0.24185189604759216,0.6180426627925362,0.7589769664338977,0.6949321575394167,1.4461206774285529e-05
20,1526738136.6875,1428.6372750168994,2311.258879725264,1313.2357868102126,960.6708875620022,0.24444591999053955,0.6960626282146405,0.7315296287313539,0.5681906939677459,2.7262391085969284e-05
21,1361108905.828125,1374.9853927505824,2464.7853298103105,1218.7148688419202,865.3923328168432,0.19662567973136902,0.4540906491159722,0.7100859724795017,0.4944507150793989,1.348185833194293e-05
22,1173213988.078125,1308.557677978355,1749.2222320543367,1182.9245086939154,1082.8706721701635,0.30095264315605164,0.7735399948725048,0.9154182403116976,0.6762574171634298,8.606837945990264e-05
23,1414783584.609375,1392.8268490890216,1767.1433948602491,1416.906824506759,1079.1412806085393,0.2909008264541626,0.767253424814426,0.7616176744608456,0.8018063664939947,7.939086208352819e-05
24,2766864719.046875,1741.7925731659368,2388.247537301341,1546.7465985056988,1430.5096606898608,0.2269410938024521,0.6342360705912572,0.9248506911680726,0.6476491964704308,9.668257916928269e-06
25,1227405462.359375,1328.4028840171268,1567.9736215471535,1457.8547542742936,1025.5017829179462,0.1902296394109726,0.6659102259684048,0.7034320668168561,0.9297699490861313,8.547753168386407e-06
26,897122203.6875,1196.6054992869404,1309.6178646140343,1222.241883450542,1070.4126444207875,0.19393889605998993,0.5344885393467994,0.8757780754484361,0.9332813154704152,2.5271219783462584e-05
27,2237324495.40625,1622.7194876469619,2393.510355960921,1597.0109054789025,1117.859347061525,0.3088853657245636,0.7513458624533579,0.6999697642805438,0.6672254003420643,6.80932316754479e-06
28,1804822565.265625,1510.5854478802385,2312.426997330488,1370.9203273502326,1087.3156596716356,0.32218706607818604,0.774940818397024,0.7931282642611632,0.5928491273163867,2.901089101214893e-05
29,1310131253.5625,1357.6007260076553,1557.3355650795208,1400.960075668434,1146.8542383486779,0.20174619555473328,0.6918017279890005,0.8186202149989781,0.8995878005244797,3.0182263799360953e-05
30,1445541612.9375,1402.8481334685155,1898.406049670045,1311.6749142623848,1108.7066540501985,0.210404172539711,0.6562843693634244,0.8452602409291904,0.6909348579511545,7.2892448770289775e-06
31,1043167866.609375,1258.3028863479417,1460.8777778696015,1304.8647305519162,1045.1441713846505,0.2226514369249344,0.7108900379950017,0.8009597829673791,0.8932059548847411,1.1530065421538893e-05
32,1634488756.140625,1461.4852558523062,2134.1347320167747,1382.5278753852053,1058.0046700130874,0.30795377492904663,0.7667020191719356,0.7652682371545688,0.6478165856373582,3.239898433093913e-06
33,1360290232.1875,1374.7096641260748,1750.898523177888,1297.3670133015917,1143.6921214770261,0.518708348274231,0.8290165639777775,0.8815486363928065,0.7409721329519802,7.977261702762917e-05
34,2938832148.5625,1777.155322461035,2470.979674099084,1550.8169987509198,1464.6924199986283,0.20746809244155884,0.6146587779648822,0.9444650279035766,0.6276122037775748,6.740481694578193e-06
35,1341378746.859375,1368.3092605609854,1783.409653791146,1260.6757462900923,1139.4579106208125,0.3736395537853241,0.7966605034551859,0.903846936037281,0.7068907267660947,8.675481512909755e-05
36,2154421055.75,1602.4235571135148,2143.9285946508926,1678.0395503455036,1143.7193090129606,0.3085392713546753,0.7885040590892454,0.681580662849974,0.7826937681283865,1.0310799552826211e-05
37,2491873609.6875,1682.0637938302207,2797.0707131541276,1417.8189424807053,1200.060574276743,0.5554634928703308,0.818799913134206,0.8464131338075096,0.506894207505357,0.0001441841886844486
38,2387226247.828125,1658.1799245604766,2068.252631342465,1780.984262187677,1237.745315390436,0.3869393467903137,0.8186929529171978,0.6949782441480129,0.861105763966403,5.1115155656589195e-05
39,1258652955.65625,1339.5814528480375,2096.5740719870696,1143.8524913373553,1002.3678869093638,0.13660793006420135,0.5440863263918648,0.8763086975816503,0.545581721447717,2.0265003897179668e-08
40,1187859425.9375,1313.9801626019814,1748.1569505773473,1413.673264139487,917.9879070321014,0.384784996509552,0.7885298747908439,0.6493635625137801,0.8086649563545233,0.00023349271214101464
41,1422546697.78125,1395.3697481744966,2072.070594727777,1217.2070603684886,1077.2063358003415,0.3049677014350891,0.7148134646068411,0.8849819976185775,0.5874351305720845,2.7584963390836492e-05
42,1975321599.875,1556.72917058771,2011.7587451711013,1635.0624399155809,1146.9089724801154,0.8137900233268738,0.9240117200075778,0.7014465897334973,0.8127527437573127,0.000604810833465308
43,5104648793.546875,2136.26806543323,3961.3521733488487,1752.7471104368522,1404.1209893638002,0.3320217728614807,0.6140407558199917,0.8010973066239082,0.4424618245832747,1.5207081105472753e-06
44,1098548219.0,1280.1872592536743,1516.620757728278,1258.9640878081632,1098.8291305040239,0.303830623626709,0.7517550824705984,0.8728041896866718,0.8301113389044901,1.0086767360917293e-05
45,1301867494.75,1354.7403113361229,1791.7304862877565,1221.2728667482254,1136.2732157733337,0.2016325294971466,0.6879891807432987,0.9304007701397536,0.6816163904642553,2.2294383597909473e-05
46,2899091071.53125,1769.1082673517444,2905.001100445269,1660.5499593577263,1147.7967442798704,0.18739627301692963,0.5104987135012585,0.6912148218195251,0.5716176696467352,5.096330369269708e-06
47,1456431587.34375,1406.3621051854009,1743.3005748426863,1360.4074676771327,1172.8708333794837,0.25478261709213257,0.733853587330123,0.8621467179845287,0.7803631154081931,7.446387826348655e-07
48,1351646330.53125,1371.7916314446013,1515.0247640926013,1361.2791567139259,1251.6921277211593,0.23363342881202698,0.7180194151691733,0.9194970198050301,0.8985194097003696,2.882663466152735e-05
49,1426487263.46875,1396.656988123379,1855.56340369647,1375.6956080549915,1067.2621968783794,0.1989978402853012,0.6601016711995028,0.7757982148298878,0.7413897069291552,2.542966467444785e-05
50,1749643464.96875,1495.0313931996802,2228.2666429160718,1306.2534235979583,1148.038191885384,0.3940270245075226,0.6947854364774761,0.8788786089633477,0.5862195297635026,0.00011083472054451704
51,2602137395.71875,1706.516665686346,2538.9514718055348,1562.1092110515795,1253.042520277996,0.1813901662826538,0.5447031931409492,0.8021478341034003,0.6152576086618585,3.0782775866100565e-06
52,3320407360.609375,1850.9623368427974,3227.959000342853,2002.7052643178324,980.9518628924417,0.437566339969635,0.7954783753627618,0.48981339409749663,0.6204246287220866,1.5400233678519726e-05
53,1187556305.5,1313.868385030482,1781.9489978238985,1272.2922992398321,1000.399392666936,0.22786691784858704,0.6781886043916362,0.7862968228799732,0.7139891774644196,4.2475196096347645e-05
54,1462841839.21875,1408.422378485821,1791.5231238905974,1508.9774984820663,1033.4597551558022,0.5055477619171143,0.8497358850017319,0.6848741987176058,0.8422874806131806,0.0003352240892127156
55,2125777416.703125,1595.2902915818395,2033.9642209339543,1567.2513656258484,1273.6121710853004,0.2529437243938446,0.7157331742784495,0.8126406516651593,0.7705402826143122,1.7795582607504912e-05
56,2172911402.4375,1606.9947780901755,2042.5281998619612,1516.3486725147498,1339.91194857104,0.23210471868515015,0.7296252527355086,0.8836436980875232,0.7423881210635076,5.567004336626269e-06
57,1768043123.984375,1500.2538286569188,1750.2726436875917,1516.7876010920413,1271.9315981052316,0.31860801577568054,0.7229939933593702,0.8385693535399942,0.8666007587802843,4.124189945287071e-05
58,3650217304.171875,1910.3225360872386,3165.5174429419044,1699.9153167092657,1295.5318646847647,0.2607130706310272,0.727371274651951,0.7621155312563949,0.5370102510411167,1.25406984352594e-06
59,997222758.984375,1239.5513416468655,1593.06303458267,1222.0815294872787,978.2737914175582,0.2535257041454315,0.6891035408706282,0.8004979764549675,0.767126913975142,3.093639406870352e-06
