Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Middle Axis Length (µm),Minor Axis Length (µm),True Sphericity (-),Convexity (-),Flatness (-),Elongation (-),Compactness (-)
1,64464007.07,497.4768683913167,821.7459597969043,477.17898119275765,313.9784146464814,0.8433492183685303,0.9466384082353143,0.6579887778410949,0.5806891722481886,0.5998219847679138
2,30258520.294,386.61884700953965,519.9156672029068,387.9718071258384,286.4943037815338,0.8985726237297058,0.9562694402439175,0.738441037517475,0.7462206500009648,0.7255369424819946
3,44069790.845,438.2421265894386,591.8485769318232,427.21128498160607,332.88102731241696,0.9248815774917603,0.9787632945404906,0.7791953045593105,0.7218253141644672,0.7911491394042969
4,73693824.412,520.1686301787753,651.1248398567135,549.0816757552213,393.66903791481167,0.8575364947319031,0.9165178938608841,0.7169589795058247,0.843281721330202,0.6306056380271912
5,57938246.894999996,480.08953863364667,697.9093644647238,470.4250653281396,337.0367421909987,0.8563011884689331,0.9205508409100742,0.7164514968093858,0.674048937126588,0.6278843283653259
6,49397767.677,455.2356173573303,596.8678599556706,407.2129611121445,388.1583335072961,0.9227118492126465,0.9557144469950701,0.953207217292868,0.6822497715698551,0.7855941653251648
7,55062244.214,472.01061113493654,595.5852084304553,448.9565542927663,393.2847136821535,0.8996963500976562,0.9503162304789784,0.8759972650397949,0.753807428287047,0.7282623648643494
8,32012986.963999998,393.9512883972921,492.9839361369457,395.47979703007036,313.5959930153706,0.9082068204879761,0.9521561549052958,0.7929507281291699,0.8022163970069204,0.749125063419342
9,43280086.335,435.6086536435426,556.7734692952184,421.6508461655202,352.0934835187624,0.9026725888252258,0.9645996982781043,0.8350356384214326,0.7573113113655707,0.7355136871337891
10,69752304.168,510.72444527536976,744.7214312225293,579.7542383943832,308.5475852752403,0.8537238240242004,0.9472149437917335,0.5322041045008246,0.7784846978858427,0.6222317218780518
11,54083477.442,469.19711012548055,566.0834415933854,485.92063696457626,375.50886146595565,0.8956203460693359,0.9471403753789556,0.7727781717847277,0.8583904796735079,0.7184091210365295
12,63419496.425,494.77535108784025,552.5153038896955,493.2065838494559,444.47873667014994,0.9455960988998413,0.976285295086385,0.901201953147123,0.8926568737142528,0.8455066680908203
13,36238489.618,410.57309709477636,477.15016459257544,405.81303345708665,357.42950283465746,0.8971914052963257,0.9401043506342783,0.8807738376210985,0.8504933322271796,0.7221964001655579
14,66638612.1,503.00902085852493,716.5808410344923,497.1160627004384,357.2764022378597,0.8395200967788696,0.9263415188107353,0.718698165368183,0.6937333992669641,0.5916886925697327
15,57090578.852,477.73670300041374,668.6029168208397,548.2775125051362,297.4384597348416,0.8010228276252747,0.8945863735835025,0.5424961866041428,0.8200345806329377,0.5139663815498352
16,88042716.457,551.948135320428,713.5319999163848,504.7123734631561,466.91454682643297,0.9096217155456543,0.9482829417088459,0.9251101644737418,0.7073437120161405,0.752631664276123
17,78495461.243,531.2292436150459,666.0272854511722,559.3232234208475,402.4306499647644,0.8889265060424805,0.9559451956148912,0.7194956924968704,0.8397902543016049,0.7024211287498474
18,89572331.301,555.1262342947057,675.6102049801735,566.406602857802,447.044490691461,0.9032356142997742,0.9375962016141511,0.7892642642862919,0.8383630067790698,0.7368908524513245
19,83976710.773,543.3171483343928,862.2450189486918,500.8547000420143,371.3793826671081,0.8430733680725098,0.913870473384304,0.7414912601118745,0.5808728250499964,0.5992335081100464
20,82073639.609,539.1815508372142,716.6319991307138,537.9431590022581,406.6047850105013,0.8758509159088135,0.9258046821861904,0.7558508333197236,0.7506546730466848,0.6718782186508179
21,71570180.609,515.1232636269115,644.6115402361238,559.736198022924,378.8366792242164,0.8919064998626709,0.9445810721308614,0.6768128996522415,0.8683310227705361,0.7095091342926025
22,97378735.44,570.805964772517,879.0636812850289,541.664008737136,390.58466773570507,0.822670578956604,0.8812533004752684,0.7210829249045635,0.6161829003620343,0.5567725896835327
