Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Middle Axis Length (µm),Minor Axis Length (µm),True Sphericity (-),Convexity (-),Flatness (-),Elongation (-),Compactness (-)
1,4798076.0,209.26158003821416,278.0309736647709,216.46512400974262,152.26054687378675,0.784795880317688,0.8319126196960775,0.7033952816664075,0.7785647805943384,1.0678448234102689e-05
2,9229204.0,260.24868341015997,422.0716375568005,243.92668508944163,171.20645707370107,0.7603330016136169,0.8383096403386882,0.701876701234734,0.5779272127865144,2.141870254490641e-06
3,7317900.0,240.87734153374737,345.7875552643565,202.40526260549348,199.69017101655464,0.794380247592926,0.8926086166328996,0.9865858646460651,0.5853457116198225,1.879798946902156e-05
4,9934005.0,266.71160772877096,429.9970196164221,271.44233240279675,162.54841090609173,0.7924902439117432,0.8572472608271422,0.5988322067056367,0.6312656135266619,1.6576746929786168e-05
5,8767066.0,255.83024371867256,365.4004232657933,243.0312468838678,188.54911251008966,0.8121708631515503,0.8972015545509175,0.7758225122392909,0.6651093742906975,2.095525269396603e-05
6,11638120.0,281.1650938828884,331.3715084123968,273.8934415824087,244.89922496995308,0.8552752137184143,0.9237210924433044,0.8941405225150969,0.8265449340971832,1.8676892068469897e-05
7,10687585.0,273.2920425297993,338.6589544059692,282.19365618163647,213.58519709683708,0.8800197839736938,0.9127156180092411,0.7568745519897905,0.8332679603190274,2.4539307560189627e-05
8,13112416.0,292.5688147140265,394.7800307957026,282.05085791169046,224.90623484840873,0.8747648000717163,0.9141434461124586,0.7973960317427093,0.7144506710311568,1.4083828318689484e-05
9,14139151.0,300.0140336889623,440.5553018730965,286.4300801190181,213.9959990346745,0.8517031073570251,0.8584649360982016,0.7471142658821112,0.6501569244569557,6.314480742730666e-06
10,6949523.0,236.76570251244354,377.55844883875665,243.17613073219445,144.56103107888296,0.8050211071968079,0.8845767092658833,0.5944704796626831,0.6440754576678731,3.518976518535055e-05
11,9619287.0,263.8647766553239,357.0800191859227,238.63944048981315,215.59390984918477,0.7996442914009094,0.8617615837807674,0.9034294976835058,0.6683080196810439,2.321953979844693e-05
12,9158991.0,259.5870382042837,397.68939908372,282.4451305491506,155.7295052061871,0.7757901549339294,0.8279324376094126,0.5513619756991609,0.7102153871838343,1.1743438335543033e-05
13,10319045.0,270.1139173473841,368.62479863686633,280.7151388954163,190.45417661123756,0.8429602980613708,0.9034609082163366,0.6784606536029875,0.7615199518140663,1.046584566211095e-05
14,9021303.0,258.27966582657854,330.89653910283226,250.27050497925632,208.0504946749121,0.8915262818336487,0.9101847065048023,0.831302492845317,0.7563406545678016,2.4966995624708943e-05
