Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Middle Axis Length (µm),Minor Axis Length (µm),True Sphericity (-),Convexity (-),Flatness (-),Elongation (-),Compactness (-)
1,4784329125.0,2090.6153843241227,6486.777592197972,1196.4931933100463,1177.2892696497183,0.4620245099067688,0.9012936578530252,0.9839498262357839,0.18445108935893514,0.09862682223320007
2,5342523750.0,2168.948697632952,6701.351868939774,1281.784977757246,1187.8736251716912,0.45503297448158264,0.9236172172980505,0.9267339263486513,0.19127259735430638,0.09421686083078384
3,16297912125.0,3145.655194842876,12081.372841704328,1648.5583190650211,1562.833626283643,0.3827698528766632,0.8630964807048599,0.9480002061255578,0.1364545520335467,0.05608066916465759
4,2166024375.0,1605.2951949948936,4419.847728225803,994.570911212497,941.0694104694683,0.6957614421844482,0.8836106900392526,0.9462064492939933,0.22502379547173532,0.3368070125579834
5,3512673000.0,1886.0203166426395,6135.190328169438,1054.4726194212165,1036.9928282268552,0.5186260938644409,0.9186874179106586,0.9834231910128158,0.1718728455056488,0.13949644565582275
6,5558220000.0,2197.753785445813,7290.11234655854,1251.190698803842,1163.8027574477182,0.3568122684955597,0.8731177824691471,0.9301561772800357,0.17162845225485374,0.04542755335569382
7,3352019625.0,1856.8178827787938,6103.353196629798,1091.3152949896203,961.1456071141894,0.5329002737998962,0.8936323171757652,0.8807221996493056,0.1788058563597847,0.1513344645500183
8,6217182000.0,2281.383622627441,7398.243061176008,1330.2743825695527,1206.4939134990655,0.4537595212459564,0.906472065918871,0.9069511743649505,0.1798094995757135,0.09342803806066513
9,6097872375.0,2266.695780064412,7694.63584506994,1297.3946081112065,1166.5934891444954,0.4178578853607178,0.8853325846033079,0.8991816998861002,0.1686102674946554,0.07296016067266464
10,5620664250.0,2205.9534331228533,6776.290447904675,1301.3363971453587,1217.3274965967926,0.4610077440738678,0.9037016135377636,0.9354441320992405,0.19204259427040207,0.09797711670398712
11,3796463250.0,1935.5015612574239,6059.08093213601,1176.3887598843703,1017.238896714417,0.5734394192695618,0.9042987387482987,0.8647132065546118,0.19415300324593246,0.1885656714439392
