Particle ID,Area,Equivalent Diameter,Major Axis Length,Minor Axis Length,Aspect Ratio
1,1.9402888094069996e-09,0.0015474712371284028,0.002018242845621614,0.0010317900600449615,1.956059593686788
2,5.669183642699999e-10,0.001026850694146285,0.002130170368336998,0.0004969303416487539,4.286657887037756
3,2.1732636993839994e-09,0.0016070816214468482,0.0021225579654717136,0.0011976668352198978,1.7722440857953632
4,2.5034978965819996e-09,0.0016846752781889181,0.0023241437263977643,0.0013020957778703292,1.7849253226203279
5,1.5179381097279997e-09,0.001425887124500988,0.00228942532540636,0.0007832310970614252,2.9230521285428623
6,2.2807094167499995e-09,0.0016331413606017673,0.0022165568719885996,0.0014417622042038056,1.5373942148890387
7,3.8755663018199993e-10,0.0009045769482912565,0.001464674062556372,0.0005287924960601428,2.769846534262819
8,2.9656084677629993e-09,0.0017825363584028531,0.002252489622545589,0.0016259989635244558,1.3852958538566194
9,6.4176134489999985e-12,0.00023056407758679796,0.0006392172103375163,8.110280057410303e-05,7.88156766243193
10,4.6089489305599987e-10,0.0009583726791372666,0.0020097181753486975,0.0004010442346698515,5.011213231884862
11,1.3681945739519996e-09,0.0013773672331918638,0.002355181020560649,0.000918530853550773,2.5640739355201894
12,5.0708365949999984e-12,0.0002131540871602842,0.000587398647875757,5.2726966618519706e-05,11.140383859469745
13,2.894286479999999e-12,0.00017681304272582757,0.00048605000903736783,5.611631089099088e-05,8.661474735599558
14,2.0571063353199995e-10,0.0007324073710657432,0.0015247625896216146,0.00038834238315697334,3.9263357690352447
15,1.5497970459599997e-10,0.000666436439535175,0.0011925137775556634,0.00030552154262727325,3.9032068485281672
16,1.5591342319939997e-09,0.0014386714597881278,0.0028335089439367293,0.0009360569634555129,3.027068922682498
17,1.5577695603579996e-09,0.0014382515927477038,0.00263113651846439,0.0009520227720045463,2.7637327549679926
18,2.0826445233359996e-09,0.0015844267843465256,0.0023512423431996184,0.0010194216067669138,2.306447428220167
19,3.095828407359999e-09,0.001808253937980448,0.002571478727587903,0.001415491250727905,1.8166687545864664
20,1.8165849045599995e-10,0.0007026715330440489,0.0016863700248724563,0.00024828818091880364,6.791986709282553
21,1.3916060060289997e-09,0.0013851789741823714,0.0024497241039151667,0.0008309249451266742,2.9481893861565407
22,5.205335332579999e-10,0.000998044785747801,0.0013820628719016972,0.0006908916300212669,2.000404711603113
23,2.4342738774999992e-09,0.0016690023138721901,0.002282075173353459,0.001194428903178207,1.9105994231060373
24,1.7371639718739995e-09,0.0014914684256427267,0.0019891016006356814,0.00113378466948369,1.7543909828499367
25,2.3847333405839993e-09,0.001657602528027582,0.0022061787700838006,0.0013169999568383136,1.6751547778179998
26,3.4777559615519993e-09,0.0018797502899230783,0.0023762706338899533,0.0016063445548999019,1.479303195968457
27,2.3177815697989992e-09,0.0016419425630684876,0.0019581540941600597,0.0013713089375194196,1.4279452576909422
28,4.247242869044999e-09,0.0020092600896529722,0.0028840063180366362,0.0014718059948822045,1.9595016789338848
29,2.731880829890999e-09,0.0017344204124169686,0.0022649956927825532,0.0015041723182440654,1.5058086532443669
30,4.982846784854999e-09,0.0021191399411034967,0.0038862063310333593,0.0016052165115683374,2.4209857692258825
31,4.054378354886999e-09,0.0019783747057647827,0.0025580778793516694,0.0016389008961644278,1.5608496434033448
32,3.377233968751999e-09,0.0018614620024621574,0.0024242608699527593,0.0014547942861571426,1.666394275135954
33,2.930283390060999e-09,0.0017754304619422658,0.002370652123659283,0.0011759676863770645,2.0159160418453475
34,1.8667249166729997e-09,0.0015276618528686048,0.0021030620357436972,0.0011515433156668816,1.8262986785918445
35,5.992589813513999e-09,0.0022535747940052456,0.0035744380137078227,0.0015196984097819411,2.352070641582571
36,3.590317641484999e-09,0.0018998154575102458,0.0031708577445742833,0.0012862070325239496,2.465277878594744
37,2.846817458608999e-09,0.0017584107605703662,0.002602375172192918,0.0015028743273049414,1.7315986605877272
38,3.864497601118999e-09,0.001946994867081973,0.003259959635935029,0.0012323366066099605,2.6453483719053548
39,3.4105381031389994e-09,0.0018675608501529891,0.0027349321757234755,0.0014112438563561689,1.937958605385939
40,4.527427695090999e-09,0.0020525053617056165,0.0024456100333950996,0.0018074219787345821,1.353093003277147
41,4.157692711712999e-09,0.001995038381609697,0.0025197498538207137,0.0015891281065304494,1.5856178261940725
42,5.100954291139999e-09,0.002135752564585912,0.0029399575371514045,0.0016748941334094327,1.755309472107825
43,5.500370104566998e-09,0.0021901024459294255,0.0033917668249263703,0.0016475221047036323,2.058707931895399
44,2.7034833669249993e-09,0.0017283897941449728,0.002856314379938004,0.0010936369038816016,2.6117574944665836
45,3.742066170878999e-09,0.0019262128695838655,0.002689528662271368,0.0016238544877022014,1.656262111315851
46,3.563003590863999e-09,0.0018949854478575773,0.0030124407927377512,0.0011796287121258761,2.553719455767451
47,4.014283928764999e-09,0.001971831596635905,0.002759408488134196,0.0014256798790342447,1.9355035647998475
48,3.509440229150999e-09,0.0018854415605340242,0.0024966687675922754,0.0015697755191315126,1.5904622904130725
49,5.447950452833999e-09,0.00218312285172387,0.0036447362429447598,0.001690964989274517,2.1554179217563094
50,3.844625445707999e-09,0.001943651828471109,0.0026991709144583505,0.001230124294653607,2.1942261657537743
51,2.1241631406949994e-09,0.0015948863780203826,0.0020627661454499396,0.0011297129136215009,1.825920656990072
52,4.7902164589309985e-09,0.0020914725651629733,0.0029355124537051767,0.0014385559010469064,2.040596720342159
53,2.4988223012589993e-09,0.001683625844031213,0.0026315885326311625,0.0010931081821066184,2.407436496870431
