Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
1,64464007.07,497.4768683913167,840.2227152890108,321.0381738344801,2.6172050047923903
2,30258520.294,386.6188470095396,525.9994228007512,289.84670627481404,1.8147503884416485
3,44069790.845,438.24212658943856,595.4668076763904,334.9161040858332,1.7779581226819199
4,73693824.412,520.1686301787753,677.658664017382,409.71137457296015,1.6539903602229784
5,57938246.894999996,480.08953863364667,713.6124544559019,344.62011288930915,2.070722014664048
6,49397767.677,455.2356173573302,605.412814983646,393.71528968268365,1.5376919079560785
7,55062244.214,472.0106111349365,601.7745703676103,397.3717241123686,1.5143869929644032
8,32012986.963999998,393.95128839729205,500.88225636445674,318.62029775079714,1.5720349892969228
9,43280086.335,435.60865364354254,567.4080232362458,358.81861060053046,1.581322725392123
10,69752304.168,510.72444527536965,760.4145272239292,315.04942212448003,2.413635683240453
11,54083477.442,469.19711012548055,575.5780399623578,381.80705266498774,1.5075102357194858
12,63419496.425,494.7753510878401,556.5644633407269,447.7360481406059,1.2430637775360558
13,36238489.618,410.57309709477624,489.4055484708663,366.6099233622415,1.3349489942401052
14,66638612.1,503.00902085852493,730.0606567310717,363.9971810775429,2.0056766774123607
15,57090578.852,477.73670300041374,690.5007551844558,307.1800959242855,2.2478694562119417
16,88042716.457,551.9481353204279,727.6838601523252,476.17505531020083,1.528185594850786
17,78495461.243,531.2292436150458,679.720841811477,410.70461740865966,1.655011443748003
18,89572331.301,555.1262342947057,684.7380799960193,453.08431866867113,1.5112817896854882
19,83976710.773,543.3171483343926,882.1479807288864,379.95179269407,2.3217365931450553
20,82073639.609,539.1815508372141,730.9571839818735,414.7326875595831,1.7624778704641157
21,71570180.609,515.1232636269115,652.5211097276389,383.4851457365964,1.7015551110181322
22,97378735.44,570.8059647725169,918.8895442223325,408.2800775533138,2.2506352740229962
23,58316760.436,481.1327533291702,654.069763146592,329.0999463593936,1.9874502271486703
24,98942972.797,573.8461129012371,836.1061205406021,402.0665117352317,2.079521910273377
25,72222562.118,516.6836944548586,688.7939221007239,408.0245017210219,1.6881190202927374
26,48199206.3,451.5235654365762,546.8723573857558,397.66194000429937,1.375219256285485
27,32741226.788,396.91615466597176,523.4381889792099,336.93799080234095,1.5535148996786066
28,71798533.588,515.670535540514,762.4938486855153,398.894462745343,1.9115177569468964
29,90101005.404,556.2162485547113,768.3488091265665,444.4840692227288,1.7286307031659904
30,71565123.388,515.111130298356,716.0634876666024,324.0699614660622,2.2095953738729692
31,84177443.545,543.7497078438688,786.3874319253866,368.50876216540587,2.1339721403216325
32,85233235.683,546.0135886629471,759.156091875983,428.16085293590885,1.773062825969334
33,69334499.91,509.70268541616383,638.5250900561031,369.4208315219798,1.7284490628897091
34,64458560.832,497.4628582283745,594.3746400257648,440.60825302422774,1.3489866246174966
35,88742169.023,553.4059264636035,699.6600677554732,460.22175723940245,1.520267255403828
36,74685039.728,522.490419271633,667.5876950828055,421.52693353864936,1.583736748393552
37,77640790.894,529.2941688543743,750.6511443300512,359.0563388552121,2.0906221756824297
38,70634594.72399999,512.8687983178143,617.2705550572493,439.9497748715386,1.403047780255114
39,72049449.553,516.2705456344656,628.6633737608084,384.83402056687,1.633596148372672
40,79314342.028,533.0701543436677,714.2060973425707,401.9742172985954,1.7767460364554737
41,75117237.615,523.4963549994118,643.4745841429955,435.462177279489,1.4776819152539156
42,79660178.141,533.8438168939298,719.5857065283105,371.25356265407316,1.9382593971193927
43,70752855.892,513.1548651539257,743.9812926845152,371.0786909406011,2.004915159096551
44,78373698.922,530.9544201651884,616.8786154609569,458.46051915850705,1.34554359575656
45,70757135.079,513.1652102786661,858.7251769233949,328.21049201245825,2.616385514241267
46,85459643.57699999,546.4966259301807,878.8857814713557,404.3430233971858,2.173614309175373
47,66695408.582,503.15188612932604,654.0988819260533,408.4659204189271,1.6013548480499973
48,46159590.169,445.06260678362986,638.479350099349,287.7308608249962,2.2190158826504365
49,17166931.193,320.0599610458438,403.56176309511517,268.6430526744998,1.5022229649247212
50,88813359.134,553.5538700306226,904.5366515364003,406.08560146659033,2.227453148473226
51,41432644.602,429.32022089586945,539.9215359987119,356.3648680473267,1.5150807063478775
52,87223057.638,550.2299526555317,800.2011227508441,423.1364250883669,1.8911185029360964
53,10534191.343,271.978261511369,376.3782174560532,183.0863513602324,2.0557415375846806
54,9654623.906,264.1874883929426,324.5896450564476,210.85506679722053,1.5393969421119278
55,61488027.019999996,489.7006102442534,574.349851008042,420.07793182324156,1.3672459500912661
56,77336190.583,528.6010861581757,575.6295027646382,490.9442399294867,1.17249466629309
57,53606542.6,467.81383195164926,613.306832665186,345.8254578172886,1.773457733667534
58,13004449.293,291.76360365267357,349.6504697228438,270.1106802484626,1.2944711012582553
59,60358321.652,486.6830012780842,736.6143004464849,371.8962894644772,1.9806981712756369
60,74737168.006,522.611952720992,768.8168685744586,392.2859224147429,1.9598380279413383
61,44353384.238,439.1801609217543,575.2752133241235,344.61050468727007,1.669349034633111
62,33181594.031999998,398.68773401603727,547.7874724831521,331.1797822880263,1.6540486520603563
63,61805853.909,490.54290227342307,716.0981685499979,347.5688039251853,2.0603062198416953
64,75291128.214,523.8999948940425,688.8696175486062,438.43881849400657,1.5711875602502634
65,92085381.12099999,560.2699836586349,784.1475594098083,428.3535199366703,1.8306084178454753
66,78206421.612,530.5764026578869,706.7079889683022,448.2522351428582,1.5765855327928795
67,79899034.579,534.3768510965533,642.0327161739963,453.6097611683983,1.4153855827975619
