Particle ID,Area (µm²),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
1,4.737559999999999e-12,0.0002083780807336572,0.0003743824773183228,0.00011377136320077161,3.2906565130774816
2,2.8268529999999998e-11,0.0003779504507556373,0.0005441184005098502,0.00025526918850211433,2.131547499730244
3,2.0167536999999997e-11,0.00033771582630205655,0.0004951005799404315,0.00029267378559399466,1.6916464825696722
4,1.7882505999999996e-11,0.00032444661867167193,0.0004790678923625268,0.0002090037336746295,2.2921499245000323
5,1.8116899999999998e-13,7.020398341452922e-05,0.0002468315251070918,3.511837239787533e-05,7.028558223331134
6,5.219474999999999e-12,0.00021521674885026604,0.00033495790785866263,0.00016470998599081953,2.0336223444116635
7,1.9647334999999998e-11,0.00033478681262218954,0.0005275654861779839,0.0002182945102421068,2.416760208916247
8,2.2304769999999997e-11,0.0003492472879526652,0.0005345110597272395,0.00024041767114192235,2.2232602836074773
9,1.5869845999999998e-11,0.0003117870192171576,0.0005792606576818485,0.00017204418060491096,3.3669296784416414
10,8.871892e-12,0.0002568458431259884,0.0005041698505216657,0.00015609100055952524,3.22997385316523
11,3.828185999999999e-12,0.00019408775478355403,0.00036127596312141144,9.640724508302562e-05,3.7473943250871
12,1.4618286999999997e-11,0.00030336533547557716,0.0005308152917043987,0.0001993121936283108,2.66323540994333
13,6.76501e-13,0.00010891556286205523,0.00029027353719479073,6.511222456695345e-05,4.45804976139786
14,3.0690499999999997e-12,0.00018030251328964069,0.00025432294401002615,0.00013212467053843487,1.924870979610458
15,9.292654999999999e-12,0.000260843727163864,0.00039354934088903524,0.00019378182733161166,2.03088879028666
16,1.6468237e-11,0.0003156575359447153,0.0003886705791027837,0.00025345479135179444,1.5334907540308054
17,1.4126456999999999e-11,0.00029992422352470235,0.00045836431197816396,0.00016162408775612387,2.835990094928141
18,2.2427307999999997e-11,0.0003498856855010392,0.0006041999934095267,0.0001711692044768489,3.5298405180778083
19,1.4747357999999998e-11,0.0003042555672010168,0.0005124741284953244,0.00015593759492400032,3.286405236306807
20,1.6554318e-11,0.00031620657082592003,0.0004460053496330561,0.0002128791464682688,2.09511056875426
21,4.7756852e-11,0.000450138013219329,0.0005639381204296093,0.0003808048731838496,1.4809109865496506
22,1.9365656999999997e-11,0.00033317919231464627,0.0006084911198069046,0.00024013320392200866,2.5339732692882095
23,2.1482232e-11,0.0003449003168909775,0.0005827009585247324,0.00016878587847470982,3.452308710838282
24,2.8251172999999998e-11,0.00037787308051303464,0.0005209370560924639,0.0002853059013814145,1.825889522684787
